PRACTICE_CODE,POSTCODE,Population
A84002,NE65 7UW,5964
A84005,NE22 6JX,12094
A84006,NE66 2NL,18711
A84007,NE20 9SD,10273
A84008,NE70 7ER,4509
A84009,NE24 1HD,26598
A84011,NE20 9SD,7886
A84013,NE22 7DU,6266
A84014,NE24 1DX,12700
A84016,NE42 5PW,6907
A84018,NE45 5LG,6968
A84020,NE62 5RA,8089
A84022,NE65 0HD,11986
A84024,NE46 1QJ,9908
A84025,NE23 6QN,4942
A84026,TD15 1LL,8928
A84027,NE48 2HE,3426
A84028,NE63 0NG,18948
A84029,NE61 5LX,2681
A84030,NE23 6US,9649
A84031,NE61 1JX,10003
A84032,NE71 6BL,2412
A84033,NE46 1QJ,5939
A84034,NE49 9AP,5576
A84035,NE42 5DQ,6036
A84036,NE61 1BJ,51446
A84037,NE23 7EF,6031
A84038,NE23 6QN,6755
A84039,NE61 1JX,5882
A84040,NE46 4BU,3679
A84042,NE61 4EG,2125
A84044,TD15 2HB,7263
A84045,NE47 6LA,5397
A84047,NE43 7LL,5380
A84604,NE71 6BL,2285
A84609,NE65 9PR,1702
A84614,NE42 5HR,1949
A84619,NE25 0BW,3820
A88001,NE31 1NU,3510
A88002,NE33 4QY,17303
A88003,NE34 6RE,13899
A88004,NE32 5SE,9329
A88005,NE34 9BP,4516
A88006,NE34 0BX,7876
A88007,NE33 4DX,7870
A88008,NE33 5DU,6469
A88009,NE35 9AN,6446
A88010,NE32 5AG,3022
A88012,NE31 2SP,6445
A88013,NE34 8PS,19961
A88014,NE33 4JP,2778
A88015,NE33 5DU,6747
A88016,NE35 9AN,8004
A88022,NE31 1NU,10540
A88023,SR6 7EE,5266
A88025,NE32 3UX,4873
A88601,NE33 4EG,3665
A88608,NE33 3ET,5863
A88613,NE32 3UX,4071
A89001,SR2 8AD,13460
A89002,SR1 2HJ,6193
A89004,DH5 9EZ,11532
A89005,SR2 8AX,5527
A89006,SR4 7XF,7574
A89007,SR4 7XF,10359
A89008,SR5 5PS,5119
A89009,DH4 4LE,8996
A89010,NE37 2PU,12417
A89011,SR3 2AN,4374
A89012,NE38 7NQ,10827
A89013,SR1 2QB,4979
A89015,SR6 8DZ,9204
A89016,SR6 0QQ,8709
A89017,SR4 7AF,13835
A89018,SR2 8JG,5034
A89019,SR5 2LT,14991
A89020,SR4 6QE,9508
A89021,DH4 5EQ,8325
A89022,NE37 2PU,5296
A89023,DH4 4DN,7905
A89024,SR3 4HG,5950
A89025,NE38 7NQ,12712
A89026,NE37 2PU,7555
A89027,SR3 4HG,6336
A89028,DH4 4RB,7140
A89030,DH4 4RW,6232
A89031,SR4 7XF,5066
A89032,SR3 2AN,10123
A89034,SR2 7BA,3864
A89035,SR2 0RX,8515
A89036,SR5 3EX,2300
A89040,SR6 0AB,4630
A89041,SR3 4BY,6742
A89614,SR4 0LS,4050
A89616,NE38 9EH,2229
A89617,NE38 9AB,4031
A89623,SR4 7TU,2684
Y01262,SR4 7XF,23
P81005,BB1 6PH,11766
P81022,BB2 2SU,10392
P81051,BB3 1PY,12821
P81058,BB2 3HS,9349
P81061,BB2 1UW,4592
P81125,BB2 1AX,10205
P81140,BB3 1PY,16113
P81155,BB1 9BA,5125
P81167,BB1 1XA,5605
P81204,BB2 4HY,4645
P81214,BB2 6PL,4142
P81622,BB1 6DY,10819
P81633,BB3 1BZ,3208
P81683,BB1 7EP,7538
P81694,BB2 1AX,5111
P81704,BB1 9SR,11211
P81707,BB1 1LX,5490
P81709,BB2 3UY,4870
P81721,BB3 1ET,2595
P81724,BB1 1SB,2302
P81734,BB1 2HR,18913
P81771,BB1 5ER,5029
Y02657,BB2 4QD,7711
P81004,FY1 3JG,4631
P81016,FY4 3AD,12116
P81042,FY1 4LN,11626
P81043,FY1 4NF,5898
P81054,FY3 9ES,9261
P81063,FY1 2HH,11472
P81066,FY3 7EN,7528
P81072,FY2 0JG,14657
P81073,FY5 3LF,12348
P81074,FY4 1TJ,13440
P81081,FY4 2EF,5106
P81092,FY5 3LF,8147
P81115,FY1 6JW,15433
P81159,FY4 1TJ,12770
P81172,FY3 8NX,10977
P81681,FY2 0JG,13487
P81714,FY4 5AU,6073
Y02157,FY1 6JX,1
Y05788,FY1 9NP,213
P82001,BL2 6NT,10386
P82002,BL3 5HP,7619
P82003,BL6 5NW,15751
P82004,BL3 6TL,8987
P82005,BL5 3SF,7121
P82006,BL6 7AS,8000
P82007,BL4 8EP,13619
P82008,BL4 9QZ,13745
P82009,BL3 3RR,6588
P82010,BL1 4JP,7529
P82011,BL2 6DY,6408
P82012,BL1 1SQ,6153
P82013,BL3 6RN,3816
P82014,BL1 6AF,6714
P82015,BL5 3UB,20359
P82016,BL2 3HQ,11853
P82018,BL2 6NT,7051
P82020,BL3 1JF,4318
P82021,BL1 8UP,7286
P82022,BL1 3RG,4509
P82023,BL1 7LR,9237
P82025,BL1 8TU,4832
P82029,BL1 3RG,3532
P82030,BL3 5AH,3777
P82031,BL1 5PU,10812
P82033,BL2 1HT,2083
P82034,BL7 9RG,3217
P82036,BL3 1JF,2905
P82037,BL4 9AL,4808
P82607,BL1 8UP,5543
P82609,BL3 3PH,6416
P82613,BL3 1HQ,5214
P82616,BL3 2JR,3870
P82624,BL3 5QE,3366
P82625,BL1 8TU,2192
P82626,BL1 3RG,4709
P82627,BL1 6AH,3836
P82629,BL3 5HP,2077
P82633,BL3 6RN,2307
P82634,BL1 4DN,4200
P82640,BL3 5HP,4253
P82643,BL7 9RG,6967
P82652,BL4 9AH,3648
P82660,BL3 4LU,3484
Y00186,BL3 5DP,1593
Y02319,BL1 4TH,5827
Y02790,BL3 6PY,6503
Y03079,BL1 8TU,13341
Y03366,BL3 5HP,4816
P83001,M25 1BT,12281
P83004,M45 8GH,8272
P83005,BL9 0SN,4799
P83006,BL0 9DD,8409
P83007,M26 2SP,9239
P83009,BL9 8QA,7745
P83010,M26 2QZ,3593
P83011,BL9 8JR,7307
P83012,BL8 4AD,30746
P83015,BL9 0SN,7204
P83017,BL8 1EG,4866
P83020,BL9 0NJ,19021
P83021,BL9 0SN,10340
P83024,BL9 0ST,4261
P83025,M25 0HT,8632
P83027,M25 1NL,2097
P83603,M26 2SP,10018
P83605,M25 1EX,7477
P83608,M45 7FD,5912
P83609,M25 2GN,4024
P83611,BL9 6DX,4261
P83612,BL8 2JR,4772
P83620,BL0 9TN,4507
P83621,BL9 6JA,3190
P83623,M25 1BT,5208
Y02755,BL9 0NJ,9363
P81010,PR6 8UA,5374
P81033,PR7 5EN,8111
P81038,PR7 2EJ,9307
P81044,PR7 2AD,16920
P81057,PR25 1HR,12639
P81062,PR7 2DH,7809
P81076,PR25 2EB,11157
P81082,PR5 6JD,10117
P81083,PR5 6PE,8565
P81117,PR25 2TD,4487
P81127,PR7 1HR,4100
P81143,PR6 7PS,10469
P81154,PR6 9PY,8355
P81171,PR7 6AH,4423
P81180,PR5 8ES,3519
P81181,PR1 9BX,4525
P81186,PR26 7XL,4545
P81655,PR26 9HJ,9193
P81687,PR4 4LU,1890
P81692,PR4 5AB,2095
P81701,PR6 7EH,3057
P81740,PR6 9NW,11060
P81741,PR25 3NP,2881
Y00347,PR7 2TH,5323
Y02466,PR7 7HZ,11432
Y03656,PR25 1HR,5649
P85001,OL1 2HG,131
P85002,OL1 3UL,5637
P85003,OL1 1NL,6700
P85004,OL9 0LH,5299
P85005,OL4 3DG,9329
P85007,OL1 1NL,3626
P85008,M35 0AD,12521
P85010,OL9 0LH,9656
P85011,OL9 8NH,8596
P85012,OL8 3HF,5291
P85013,OL2 6QW,22639
P85014,OL4 1JN,5609
P85015,OL4 1YN,7523
P85016,OL3 6AH,14014
P85017,OL2 8ST,9215
P85018,OL9 7AY,4547
P85019,OL2 5QA,5159
P85020,OL4 2RJ,7843
P85021,OL4 1BN,10636
P85022,OL4 3BP,4632
P85026,M35 0AD,6385
P85028,OL9 7SG,5474
P85601,OL1 1NL,3098
P85602,OL1 4JU,2655
P85605,OL8 4LR,4580
P85606,OL1 4JU,3641
P85607,OL9 8RG,3387
P85608,OL1 1NL,2889
P85610,M35 0AD,4150
P85612,OL8 4AL,3176
P85614,OL2 8ST,3360
P85615,OL9 7AY,11306
P85620,OL8 3HH,3132
P85621,OL4 1YN,5260
P85622,OL4 1YN,5444
P89006,OL5 9AJ,12088
Y01124,OL1 1NL,4230
Y02753,OL8 2QD,4756
Y02827,OL8 1DF,4254
Y02875,OL1 1NL,3940
Y02933,OL8 3TR,5175
P81003,BB4 8HH,9751
P81008,BB11 3BT,6241
P81017,BB7 9SL,13778
P81020,BB11 2DL,25043
P81025,BB8 0JZ,12291
P81027,OL13 9NR,14730
P81032,BB9 7SR,12477
P81035,BB10 1LS,6631
P81036,BB5 2EJ,15888
P81047,BB11 1PS,15688
P81053,BB10 2EZ,7923
P81065,BB18 6QT,15054
P81069,BB7 2JG,11255
P81070,BB9 5RZ,7622
P81078,BB18 5BG,11845
P81088,OL12 8QS,7326
P81095,BB10 3BF,8643
P81099,BB4 5SL,10701
P81100,BB7 2JG,14527
P81118,BB4 7PL,8696
P81123,BB9 7SR,13822
P81130,BB12 8BP,13016
P81132,BB4 7DN,8981
P81137,BB11 3HR,6265
P81147,BB5 0AL,4293
P81160,BB5 3JB,15124
P81165,BB12 0HL,2339
P81166,BB5 4LF,2585
P81170,BB9 7SR,8754
P81182,BB5 1RT,6254
P81197,BB12 6HY,4679
P81212,BB4 5SL,4909
