PRACTICE_CODE,Population
D81022,84813
E85124,79826
G85034,78629
P81002,66067
M85063,63074
B82005,58604
B81048,58567
M89017,55164
Y01008,53752
M85046,51750
K83002,49239
M81026,48088
Y01929,47378
N82117,46456
C84023,45894
M88004,45660
L81086,44731
P88026,44491
B82083,44116
J82155,43797
D81043,43503
L83100,43054
J82069,43008
Y02423,42055
B86110,42006
G82071,40482
M89003,40072
L83006,39688
L83016,39613
C88627,38960
A86003,38879
E81037,38298
L81007,37768
F81042,36938
A82016,36928
E82005,35976
M92612,35861
C82038,35770
B81025,35403
J82083,35335
J81006,34081
A83011,33676
N81022,33392
H81133,32950
L81034,32749
B82026,32514
D82044,32133
G82080,31949
C83007,31745
M87011,31568
K81605,31224
Y04957,31104
P81196,31103
J83016,30923
P83012,30534
E82013,30514
K82007,30442
B81008,30430
L82041,30390
C84024,30341
C81051,30166
C84001,30127
K82073,29917
K84009,29732
H85020,29715
L84026,29468
F81115,29442
N81016,29383
L85008,29261
B82038,29256
C88007,29227
M83006,29064
J82049,28144
F81122,28105
J83002,27745
H81013,27639
Y00449,27622
B81061,27581
D81625,27566
K81047,27540
K81062,27391
B87030,27375
D81026,27364
K82023,27318
M86009,27292
J82134,27256
C81072,27147
J82622,27144
L81039,27008
J84013,27001
H85012,26894
B81039,26850
J82144,26679
K81075,26641
A84009,26601
C82001,26587
L81026,26389
D83046,26356
G85053,26267
E81032,26195
L83131,26167
Y00159,26115
N81032,26048
B86044,26001
L84050,25967
K84028,25955
J81620,25952
G83067,25951
G81034,25901
E82073,25820
M85028,25552
J81021,25479
D82003,25256
C82009,25225
N83028,25207
D82007,25026
N81087,24979
P81020,24905
C84017,24823
G83680,24769
J82112,24687
P84072,24614
A83022,24578
E82001,24470
F81100,24469
J81019,24451
E82124,24363
J82081,24358
J82130,24244
J82007,24116
H84020,24104
D81057,24090
M82003,24080
A82044,24034
J83026,24003
E84058,23988
H82017,23934
C83026,23872
B83052,23858
J84011,23828
F84747,23827
J83021,23790
K84013,23782
D83060,23732
B83055,23732
J82028,23694
L81075,23579
G81070,23530
C82124,23509
B87017,23508
J82056,23361
J81033,23350
E84025,23165
G82161,23104
C82020,23009
B87016,22954
L81062,22954
L83014,22942
K81030,22828
G82044,22770
K81022,22695
J83040,22657
L84012,22618
J82066,22592
G82119,22587
Y03035,22541
K82016,22443
A81034,22183
L81079,22129
C84117,22096
F83023,21918
K82047,21876
K81063,21847
L81012,21818
K83041,21813
M87024,21798
D81054,21770
G85011,21741
B82047,21729
F81181,21727
G82228,21714
B82098,21694
L81133,21660
G81071,21657
D82088,21590
C83019,21572
M85002,21538
G85633,21522
K83052,21516
K83032,21480
B86013,21468
M84023,21423
D81014,21416
C81054,21408
H82034,21361
Y02575,21351
E82074,21324
E82060,21305
F81123,21274
H81078,21271
B81101,21262
H81069,21244
F81144,21221
G82050,21214
C82024,21164
F81007,21011
F82660,21009
K82033,20910
H81010,20871
G82135,20868
L81037,20862
E82040,20852
K82026,20826
E82014,20802
H81033,20745
C87002,20718
H82045,20712
K83021,20699
K82038,20696
C81006,20688
H81089,20664
D82064,20629
B82025,20600
K81014,20544
M84011,20516
E81057,20514
M85167,20451
P82015,20436
L83648,20433
G82122,20421
C83022,20414
K84613,20413
D83044,20409
L81078,20404
G82060,20400
J82098,20392
B81026,20351
M81006,20336
N81050,20322
L82006,20311
H81017,20298
A86029,20281
H83044,20231
E81044,20225
J83030,20203
A88013,20187
J82199,20165
G83066,20159
P89015,20151
K81610,20130
E84024,20122
H82057,20109
B82050,20069
K81024,20034
F84017,20011
G85039,19999
P84630,19998
M83052,19986
E82085,19976
B83063,19970
E82102,19957
B82013,19951
F81027,19897
H85061,19894
D81008,19879
F81081,19871
Y04995,19862
D83009,19836
G82014,19799
G81038,19773
B86050,19761
J81041,19739
F81043,19738
L83118,19735
C81084,19725
J82050,19706
J82101,19681
A81026,19662
B84012,19657
M88018,19634
F82009,19634
C84051,19632
E87609,19602
F83010,19583
G85002,19567
K83026,19554
F81105,19550
D81046,19549
C84032,19517
J82094,19510
K81006,19508
E85003,19490
J81056,19456
B82080,19439
D81013,19436
J81027,19424
M85020,19408
N85002,19402
D83059,19397
K83051,19390
M86014,19389
K81020,19388
H84027,19384
C84029,19382
M84043,19364
H85066,19362
L82001,19355
H81032,19351
J82080,19325
J82024,19315
J82058,19304
D81002,19289
Y03402,19280
E81019,19242
A84036,19216
H81119,19216
G82105,19200
C83003,19158
A81002,19152
P83020,19124
Y02987,19087
G84027,19034
B86032,19022
H81003,19018
H81062,18979
J82010,18961
D82045,18957
C84094,18944
K82065,18927
F83059,18921
G82099,18902
A81017,18876
D82019,18876
F81095,18854
D82008,18848
L81004,18840
F83043,18818
P81006,18804
B83038,18801
B84004,18798
A87007,18795
G82059,18740
A81044,18715
A87004,18699
M86004,18689
P81734,18674
J83008,18673
E82031,18664
M86029,18662
L82030,18662
N81084,18645
J82102,18614
G82090,18614
G82039,18612
P81213,18555
E83016,18549
J82145,18538
P89008,18536
L84009,18536
K81073,18534
A84006,18531
H85001,18517
M92016,18514
A83018,18499
F83021,18483
K84017,18471
D83012,18455
L83096,18454
G81658,18447
Y02671,18424
K84002,18420
P81029,18418
J81014,18391
F81036,18358
L83008,18357
H85051,18332
K83010,18277
D82034,18245
D82029,18242
F85066,18206
A83057,18165
G85109,18135
J83035,18120
G83053,18112
P87027,18108
E83032,18090
J82018,18068
E84006,18067
F81108,18062
J82067,18043
E81033,18031
P81208,18029
J81005,18021
J82639,18008
M84028,18007
K83014,17997
E82053,17996
F81132,17961
Y00445,17960
L81022,17895
J83018,17889
G81029,17887
A84028,17886
J81012,17880
F84093,17879
K84044,17865
J82138,17858
K82046,17850
L81649,17829
H84006,17824
B83624,17804
G81074,17783
C82014,17774
K84011,17772
M82010,17751
F81141,17725
C87005,17689
C83025,17661
D83051,17653
F81019,17642
P92016,17607
E82058,17579
G82087,17576
M85019,17565
H82026,17554
M85033,17547
E82032,17534
K83047,17520
L83073,17505
C83023,17501
A82026,17471
M85030,17445
N81030,17444
M81019,17443
B82074,17438
D82058,17437
F83055,17434
A81036,17433
B86016,17419
B85019,17412
E82091,17385
M85034,17380
K84054,17373
C88069,17372
N84021,17365
C82111,17365
E81003,17351
C83060,17349
B81068,17343
A88002,17331
J82035,17328
E87768,17323
M83617,17318
K82067,17302
F82013,17297
G85055,17261
J83037,17257
C82046,17254
L83002,17245
G82647,17218
H81037,17212
K84037,17209
Y04273,17202
K84027,17198
G82037,17195
A82021,17189
M85069,17181
M87009,17170
B81036,17165
F81097,17165
G81039,17129
C85004,17119
E82022,17119
H85048,17114
P81112,17112
H83024,17096
G82082,17076
F85033,17076
D82099,17067
B86057,17060
C85010,17058
P91604,17056
E81013,17040
B86012,17037
M82032,17031
L81015,17021
B81005,17019
G83065,16982
G85022,16955
L85023,16946
E87637,16939
A84043,16933
C83045,16930
C81005,16919
C84605,16917
G85024,16910
L81118,16909
C81029,16900
J83050,16872
M86003,16867
M81022,16856
E87677,16853
K81074,16850
L81091,16846
P88632,16819
D81031,16815
H81042,16814
J82143,16809
L81081,16808
M81008,16791
G81003,16789
G82052,16778
G83052,16772
D83008,16770
P84035,16758
D82051,16749
H81056,16727
Y02517,16720
L81031,16709
L82023,16701
C86001,16688
J82089,16684
